DISCOVER TOPIC TITLE REGISTRY
Generated: 2026-03-28T07:42:14.179Z

Purpose:
- Use this file before adding new Discover topics.
- Search by normalized key or by title to avoid duplicate topics across source files.
- Data folder JSON imports are included in this registry.

Unique normalized topics: 464

Format:
normalized key | canonical title | sources

ai model comparison | AI model comparison | discover-search-intents
android tips and tricks | Android tips and tricks | discover-search-intents
beginner guide to buying a budget smartphone | Beginner Guide to Buying a Budget Smartphone | data-data1
beginner guide to cybersecurity for everyday life | Beginner Guide to Cybersecurity for Everyday Life | data-guides-batch4
beginner guide to understanding geopolitics | Beginner Guide to Understanding Geopolitics | data-data1, data-guides-batch1
beginner guide to understanding modern politics | Beginner Guide to Understanding Modern Politics | data-guides-batch3
beginner guide to understanding space and astronomy | Beginner Guide to Understanding Space and Astronomy | data-guides-batch3
beginner guide to understanding space and the universe | Beginner Guide to Understanding Space and the Universe | data-data1
beginner guide to understanding the stock market | Beginner Guide to Understanding the Stock Market | data-data1, data-guides-batch2
beginner guide to understanding us politics | Beginner Guide to Understanding US Politics | data-data1
best action actors across global and indian cinema | Best Action Actors Across Global and Indian Cinema | discover-data
best actors for intense thriller roles across indian and global cinema | Best Actors for Intense Thriller Roles Across Indian and Global Cinema | discover-high-traffic-seeds
best ai apps for mobile users | Best AI apps for mobile users | discover-search-intents
best ai models for coding | Best AI Models for Coding | discover-high-traffic-seeds, discover-search-intents, discover-topic-taxonomy
best ai models for image generation | Best AI Models for Image Generation | discover-topic-taxonomy
best ai models for long context work | Best AI Models for Long Context Work | discover-high-traffic-seeds
best ai models for reasoning tasks | Best AI Models for Reasoning Tasks | discover-topic-taxonomy
best ai models for video generation | Best AI Models for Video Generation | discover-topic-taxonomy
best ai tools for business | Best AI tools for business | discover-search-intents
best ai tools for content creation | Best AI Tools for Content Creation | discover-topic-taxonomy
best ai tools for content creators | Best AI Tools for Content Creators | discover-high-traffic-seeds
best ai tools for creators | Best AI tools for creators | discover-search-intents
best ai tools for daily work | Best AI Tools for Daily Work | discover-high-traffic-seeds, discover-search-intents
best ai tools for image generation | Best AI tools for image generation | discover-search-intents
best ai tools for job search in 2026 | Best AI Tools for Job Search in 2026 | discover-high-traffic-seeds
best ai tools for resume writing | Best AI Tools for Resume Writing | discover-high-traffic-seeds
best ai tools for startups | Best AI Tools for Startups | discover-topic-taxonomy
best ai tools for students | Best AI Tools for Students | discover-high-traffic-seeds, discover-search-intents, discover-topic-taxonomy
best ai tools for video generation | Best AI tools for video generation | discover-search-intents
best ai tools for writing | Best AI tools for writing | discover-search-intents
best ai tools for youtube | Best AI tools for YouTube | discover-search-intents
best apps for earning money | Best Apps for Earning Money | discover-high-traffic-seeds, discover-search-intents
best apps for personal finance tracking | Best Apps for Personal Finance Tracking | discover-high-traffic-seeds
best apps for reels editing | Best apps for reels editing | discover-search-intents
